name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
KTF Gym & Pickleball Club,"GF Emraud Square Plaza, L. Sumulong Memorial Circle, Brgy. Dalig, Antipolo City",Brgy. Dalig,Antipolo City,PH,Asia/Manila,,,,,0995 934 9175,,Email: ktfgym.antipolo@gmail.com,,pickleball|,
Urban Rally,"Field of Dreams, Begonia Street, Elvinda Village, San Pedro, 4023 Laguna",San Pedro,4023 Laguna,PH,Asia/Manila,,,,,09171320710,,Email: urbanrallycourts@gmail.com,,pickleball|,
Pickle Park by Events Place Hermosas,"51 Mataywanak, Kabitul's, Calle Pogi, Tuy, Batangas 4214",Tuy,Batangas 4214,PH,Asia/Manila,,,,,+63 956 192 4668,,Email: eventsplacehermosas@gmail.com,,pickleball|,
Match Point Sports Center and Cafe Cebu,"Jugan, Consolacion",Jugan,Consolacion,PH,Asia/Manila,,,,,,,Email: matchpoint.loggco@gmail.com,,pickleball|,
Kingcourts Pickleball Inc.,"Warehouse #2 TSB Warehouse, Lot 133-A, Barangay Panipuan, City of San Fernando, Pampanga",City of San Fernando,Pampanga,PH,Asia/Manila,,,,,09985136969,,Email: kingcourtspickleball@gmail.com,,pickleball|,
Sorsogon Pickleball Arena,"Sorsogon Pickleball Arena Annex A. Warehouse #3. Diversion Road, Bibincahan East District, Sorsogon City Bibincahan, East District, Sorsogon City, 4700 Sorsogon",Sorsogon City,4700 Sorsogon,PH,Asia/Manila,,,,,09177036879,,Email: seeturtlesph@outlook.com,,pickleball|,
CamSur Pickleball Club,"Capitol Complex, Cadlan, Pili, Camarines Sur",Pili,Camarines Sur,PH,Asia/Manila,,,,,,,Email: camsurpickleball@gmail.com,,pickleball|,
Athlete’s Zone Sports Center,"Lobing Ogis, Galas, Dipolog City, Zamboanga del Norte 7100",Dipolog City,Zamboanga del Norte 7100,PH,Asia/Manila,,,,,(0946) 535 3652,,Email: athletezonesportscenter@gmail.com,,pickleball|,
The Pickle Farm,Malvar Batangas,Malvar Batangas,Malvar Batangas,PH,Asia/Manila,,,,,09178764911,,Email: thepicklefarmmalvar@gmail.com,,pickleball|,
Pikol Garden by Rudhil,"Brgy. Delusom, Mahayag, Zamboanga del Sur",Mahayag,Zamboanga del Sur,PH,Asia/Manila,,,,,09273623639,,,,pickleball|,
Sta Maria Paddlepoint,"CIUDAD DE VICTORIA AVENUE, STO TOMAS, Santa Maria, Bulacan",Santa Maria,Bulacan,PH,Asia/Manila,,,,,09178806192,,Email: dominicdc6192@yahoo.com,,pickleball|,
Angeles Pickleball Center,"Mc Arthur Highway, Balibago, Angeles City, Philippines",Balibago,Angeles City,PH,Asia/Manila,,,,,09285063903,,Email: angelespickleballcenter@gmail.com,,pickleball|,
Fitzone Warehaus Sports & Gym,"Road 1, Tinga Labac Batangas City",Road 1,Tinga Labac Batangas City,PH,Asia/Manila,,,,,09565983097,,Email: marolifestyle2025@gmail.com,,pickleball|,
The Pickle Yard SOMO,Vista Mall SOMO Molino- Bacoor Cavite,Vista Mall SOMO Molino- Bacoor Cavite,Vista Mall SOMO Molino- Bacoor Cavite,PH,Asia/Manila,,,,,09691991872,,Email: pickleyardph@gmail.com,,pickleball|,
Victoria Sports Club,"South Triangle, 799 Epifanio de los Santos Ave, Diliman, Quezon City, 1103 Metro Manila",Quezon City,1103 Metro Manila,PH,Asia/Manila,,,,,09165776624,,Email: info@victoriasportsclub.com.ph,,pickleball|,
The Pickle Yard Dasma,"AON Warehouse, Governor's Drive, Sampaloc Uno, Dasmariñas, Philippines, 4114",Philippines,4114,PH,Asia/Manila,,,,,09538826297,,Email: pickleyardph123@gmail.com,,pickleball|,
Waypoint Pickleball,"Lomonon, Palompon, Leyte",Palompon,Leyte,PH,Asia/Manila,,,,,09176315022,,Email: ryledelapieza@gmail.com,,pickleball|,
THE COURT AVENUE SPORTS & LIFESTYLE CORPORATION,"TCA McArthur Highway, San Isidro, City of San Fernando, Pampanga",City of San Fernando,Pampanga,PH,Asia/Manila,,,,,,,Email: thecourtavenue@gmail.com,,pickleball|,
Grabka Sports Sta Rosa Group Inc,2nd Level Vista Mall Sta Rosa Laguna,2nd Level Vista Mall Sta Rosa Laguna,2nd Level Vista Mall Sta Rosa Laguna,PH,Asia/Manila,,,,,09163493319,,Email: grabkasportsph@gmail.com,,pickleball|,
Pickleball On the Go,Davao City,Davao City,Davao City,PH,Asia/Manila,,,,,09177210688,,Email: pickleballonthegoph@gmail.com,,pickleball|,
Dink City Pickleball Court,"203 Crispin Calabio Ave., San Pablo City, Laguna",San Pablo City,Laguna,PH,Asia/Manila,,,,,(0956) 750 7075,,Email: dinkcity2025@gmail.com,,pickleball|,
Sports360 Arena,sports360,sports360,sports360,PH,Asia/Manila,,,,,123456789,,Email: sports360@gmail.com,,pickleball|,
G-Park Playgrounds,#27 6th st cor 9th ave east Brgy 104 Caloocan City,#27 6th st cor 9th ave east Brgy 104 Caloocan City,#27 6th st cor 9th ave east Brgy 104 Caloocan City,PH,Asia/Manila,,,,,09154646175,,Email: gparkplaygrounds@gmail.com,,pickleball|,
Net and Paddle Pickleball Club,"101 Tupas St. Sawang Calero, Cebu City 6000",101 Tupas St. Sawang Calero,Cebu City 6000,PH,Asia/Manila,,,,,09173118202,,Email: netandpaddleclub@gmail.com,,pickleball|,
Revel Grove,"W13 Area 1 Filsyn Compound, Brgy. Don Jose, City of Santa Rosa, Laguna",City of Santa Rosa,Laguna,PH,Asia/Manila,,,,,,,Email: hello@therevelgrove.com,,pickleball|,
002 Pickle Club,mia sports center,mia sports center,mia sports center,PH,Asia/Manila,,,,,09123456789,,Email: sample@gmail.com,,pickleball|,
The Pickler Pod,"138-142 Quezon ave., Richmond subd, Brgy. San Isidro Angono, Rizal, Philippines 1930 c/o Alpha AAce builders supply Inbetween CEBUANA and Jollibee",Brgy. San Isidro Angono,Rizal,PH,Asia/Manila,,,,,09564401784,,Email: chardyang@yahoo.com,,pickleball|,
The Picklehaus,"Genmig Construction Office, Purok 1, Tinago, Dauis, Bohol",Dauis,Bohol,PH,Asia/Manila,,,,,(0960) 612 5074,,Email: thepicklehaus.bhl@gmail.com,,pickleball|,
Apex Pickleball Hub,"Warehouse 11 Andenson Cmpd, National Hiway, Parian, Calamba City",Parian,Calamba City,PH,Asia/Manila,,,,,09278045065,,Email: apexpicklehubcalamba@gmail.com,,pickleball|,
MetroGate Complex Pickleball Club,"MGPC Paddle Park, Metrogate Complex Subdivision, Meycauayan City, Bulacan",Meycauayan City,Bulacan,PH,Asia/Manila,,,,,09175090980,,Email: metrogatepickleball@gmail.com,,pickleball|,
PickleHub,"City Hub Bldg., 92 Upper Gen. Luna Road Corner Leonard Wood Road, Baguio City",92 Upper Gen. Luna Road Corner Leonard Wood Road,Baguio City,PH,Asia/Manila,,,,,09190875185,,Email: CityHub.mjfg@gmail.com,,pickleball|,
Westfield Pickleball Center,"Turno, Dipolog City",Turno,Dipolog City,PH,Asia/Manila,,,,,NA,,Email: nobleprinceventuresinc@gmail.com,,pickleball|,
The Pickle Box,"Endrina st. San Carlos City, Negros Occidental.",Endrina st. San Carlos City,Negros Occidental.,PH,Asia/Manila,,,,,09606049184,,Email: tpb@gmail.com,,pickleball|,
The Paddle Tap,"Tiaong- Lipa road, antipolo del sur, lipa city, batangas",lipa city,batangas,PH,Asia/Manila,,,,,09614951804,,Email: thepaddletap.lipa@gmail.com,,pickleball|,
The Pickle Yard Parañaque,"The Pickle Yard Parañaque 1700 Parañaque, Philippines",The Pickle Yard Parañaque 1700 Parañaque,Philippines,PH,Asia/Manila,,,,,09691991872,,Email: pickleyardparanaque@gmail.com,,pickleball|,
Lipa Racket Club,"121, Mercado Compound, Brgy Mataas na Lupa, Lipa City Batangas",Brgy Mataas na Lupa,Lipa City Batangas,PH,Asia/Manila,,,,,09178608640,,Email: liparacketclub@gmail.com,,pickleball|,
Awesome Shots,"Bateria Poblacion Guihulngan City, Negros Oriental",Bateria Poblacion Guihulngan City,Negros Oriental,PH,Asia/Manila,,,,,09480093221,,Email: keongkeehardware@gmail.com,,pickleball|,
PICKLD,"Surigao City, Surigao del Norte",Surigao City,Surigao del Norte,PH,Asia/Manila,,,,,09266119105,,Email: mirallesauxx@gmail.com,,pickleball|,
Toby's Arena,"Toby's Arena, Quorum Center, 73 Good Harvest Complex, C. Raymundo Ave. Caniogan Pasig City 1606",73 Good Harvest Complex,C. Raymundo Ave. Caniogan Pasig City 1606,PH,Asia/Manila,,,,,02-8651-7777,,Email: arena@tobys.com,,pickleball|,
Qusina PIQLE QLUB,"113 Gov M Cuenco Ave, Banilad, Cebu City",Banilad,Cebu City,PH,Asia/Manila,,,,,09461007777,,Email: qusina.ph@gmail.com,,pickleball|,
Butuan Pickleball Center,"R. Calo St. Brgy. Port Poyohon, Butuan City",R. Calo St. Brgy. Port Poyohon,Butuan City,PH,Asia/Manila,,,,,09695939885,,Email: butuanpickleballcenter@gmail.com,,pickleball|,
The Play Yard,"EJ Blanco Drive, Brgy. Piapi, Dumaguete City, Negros Oriental",Dumaguete City,Negros Oriental,PH,Asia/Manila,,,,,09458062117,,Email: theplayyard@riesa.ph,,pickleball|,
Paloo Ph - SM Sta. Rosa,SM Sta. Rosa Laguna,SM Sta. Rosa Laguna,SM Sta. Rosa Laguna,PH,Asia/Manila,,,,,09283495039,,Email: paloopickleball@gmail.com,,pickleball|,
The Dink Zone,"3rd floor, EB Town Center",3rd floor,EB Town Center,PH,Asia/Manila,,,,,09178375767,,Email: thedinkzoneph@gmail.com,,pickleball|,
Rudhil Lawn Tennis Center,"Brgy. Delusom, Mahayag, Zamboanga del Sur",Mahayag,Zamboanga del Sur,PH,Asia/Manila,,,,,09273623639,,Email: sample1@gmail.com,,pickleball|,
BKL BROOK KNIGHT LEAGUES,"JRC BALLPARK 106 MacArthur Hwy, Valenzuela",JRC BALLPARK 106 MacArthur Hwy,Valenzuela,PH,Asia/Manila,,,,,09667754981,,Email: admin@brooknightleagues.com,,pickleball|,
Smash Zone - Caibaan,"6X4R+H6M, Tacloban Bypass Road, Caibaan, Tacloban City, Leyte",Tacloban City,Leyte,PH,Asia/Manila,,,,,09274584634,,Email: dvm@dmctgroup.com,,pickleball|,
MIA Sports Center,2316 Aurora Blvd Pasay City,2316 Aurora Blvd Pasay City,2316 Aurora Blvd Pasay City,PH,Asia/Manila,,,,,+639276861770,,Email: mia.edsapasay@gmail.com,,pickleball|,
Uptown Pickle Yard,"Brgy. San Pablo, Ormoc City, Philippines (6541)",Brgy. San Pablo,Ormoc City,PH,Asia/Manila,,,,,09123456789,,Email: uptownpickleyard@gmail.com,,pickleball|,
FKS Gymnasium,"Solon Quarry, Tubtubon Sibulan, Negros Oriental",Tubtubon Sibulan,Negros Oriental,PH,Asia/Manila,,,,,09566875834,,Email: kennethsolon15@gmail.com,,pickleball|,
The Pickle Den,"1-A, Mercedes Ave, Pasig, Metro Manila",Pasig,Metro Manila,PH,Asia/Manila,,,,,+63 956 319 4999,,Email: the.pickleden.courts@gmail.com,,pickleball|,
Erne Pickleball Club,"A9 Events Place & Private Resort, Upi, Gamu, Isabela, 3301",Isabela,3301,PH,Asia/Manila,,,,,09778323437,,Email: nodutoys@gmail.com,,pickleball|,
DECO PICKLEBALL,"Pulantubig, Villa amada, Dumaguete City, Philippines",Villa amada,Dumaguete City,PH,Asia/Manila,,,,,09455431773,,Email: khaielaldecoa30@gmail.com,,pickleball|,
Dink District Ph,"Batia Rd, Tambobong, Bocaue, 3018 Bulacan",Bocaue,3018 Bulacan,PH,Asia/Manila,,,,,+639691734513,,Email: dinkdistrictph@gmail.com,,pickleball|,
DINKS & BANGS PICKLEBALL CENTER,"Victoria Sports Tower, South Triangle, 799 Edsa, Diliman, Quezon City (NEAR GMA)",Diliman,Quezon City (NEAR GMA),PH,Asia/Manila,,,,,VIBER 09164363444,,Email: dinksandbangs@gmail.com,,pickleball|,
Chings Place Resort,"Tabalong Dauis, Bohol",Tabalong Dauis,Bohol,PH,Asia/Manila,,,,,09323952443,,Email: pickledistrictph_copy@gmail.com,,pickleball|,
Smash Pickleball PH,Novella Tagaytay,Novella Tagaytay,Novella Tagaytay,PH,Asia/Manila,,,,,+63 917 866 9577,,Email: smashpickleball.ph@gmail.com,,pickleball|,
Court X,"Peñaflor Street, Taloto, Tagbilaran City, Bohol",Tagbilaran City,Bohol,PH,Asia/Manila,,,,,09681770861,,Email: reservations.courtx@gmail.com,,pickleball|,
The Pickleball Club - NOMO,"Bacoor Blvd, Bacoor, 4102 Cavite",Bacoor,4102 Cavite,PH,Asia/Manila,,,,,09688676499,,Email: thepickleballclubnomo@gmail.com,,pickleball|,
Reset Pickleball and Cafe,Poblacion 8. Cotabato City. Mindanao Philippines,Poblacion 8. Cotabato City. Mindanao Philippines,Poblacion 8. Cotabato City. Mindanao Philippines,PH,Asia/Manila,,,,,09756623494,,Email: thewhitecompany.08@gmail.com,,pickleball|,
PGA Pickleball,"Lurline st, ettalong beach nsw australia",Lurline st,ettalong beach nsw australia,PH,Asia/Manila,,,,,+61421875787,,Email: Coaching@pickleball.global,,pickleball|,
Dink N Dash Pickleball,"Bagacay, Dumaguete City (right beside QXV Royale)",Bagacay,Dumaguete City (right beside QXV Royale),PH,Asia/Manila,,,,,09218081324,,Email: diente.aaronjohnj@gmail.com,,pickleball|,
Picklebel Court,"Aliguay, Maribojoc, Bohol",Maribojoc,Bohol,PH,Asia/Manila,,,,,0968 411 6290,,Email: picklebelcourt@gmail.com,,pickleball|,
Kitchenline Pickleball Center,"A Soriano Ave Mandaue City, Cebu",A Soriano Ave Mandaue City,Cebu,PH,Asia/Manila,,,,,09458821522,,Email: kitchenlinesales@gmail.com,,pickleball|,
InCredoBall Sports & Development,"EJ Blanco Ext., Daro, Dumaguete City, Negros Oriental",Dumaguete City,Negros Oriental,PH,Asia/Manila,,,,,09367140363,,Email: incredoballsportsdev@gmail.com,,pickleball|,
Pickle District,"Songculan Dauis, Bohol",Songculan Dauis,Bohol,PH,Asia/Manila,,,,,09177013961,,Email: pickledistrictph@gmail.com,,pickleball|,
The Pickle Bloc,"Winwin Leisure Strip, Roxas Avenue, Naga City, 4400",Naga City,4400,PH,Asia/Manila,,,,,+63 917 175 6064,,Email: thepicklebloc@gmail.com,,pickleball|,
Dink n' Drink,"Totolan, Dauis, Bohol",Dauis,Bohol,PH,Asia/Manila,,,,,09122500294,,Email: causewayfoodhub@gmail.com,,pickleball|,
Game Changer Sports Facility,"Hernan Cortes, Mandaue City, Cebu",Mandaue City,Cebu,PH,Asia/Manila,,,,,,,Email: gamechangersportsfacility@gmail.com,,pickleball|,
Proving Grounds Sports Center,"Gate 2, GTL Compound, Brgy. San Vicente, San Jacinto, Pangasinan",San Jacinto,Pangasinan,PH,Asia/Manila,,,,,09175063094,,Email: noemail@email,,pickleball|,
La Viennice Pickleball Court,"Bougainville Street Greenville Subd., Brgy. Ayuti Lucban, Quezon",Brgy. Ayuti Lucban,Quezon,PH,Asia/Manila,,,,,0917 532 0036,,Email: rowena.abustan@yahoo.com,,pickleball|,
Picklebola Court,305 D. Tuazon Street Corner Araneta Ave. brgy san jose Q. C.,305 D. Tuazon Street Corner Araneta Ave. brgy san jose Q. C.,305 D. Tuazon Street Corner Araneta Ave. brgy san jose Q. C.,PH,Asia/Manila,,,,,09478879595,,Email: picklebolacourt@gmail.com,,pickleball|,
Sweetspot Pickleball Courts,"HVG IT Park, Mandaue, Cebu",Mandaue,Cebu,PH,Asia/Manila,,,,,Facebook messenger,,Email: sweetspotpickleballcourts@gmail.com,,pickleball|,
Phoenix Pickleball Club,AGP Commercial Complex Covelandia Rd. Pulvorista St. Kawit Cavite,AGP Commercial Complex Covelandia Rd. Pulvorista St. Kawit Cavite,AGP Commercial Complex Covelandia Rd. Pulvorista St. Kawit Cavite,PH,Asia/Manila,,,,,,,Email: phoenixpickleballclubph@gmail.com,,pickleball|,
PickleZone Sports Center,"Barangay 2, San Jose, Antique - Region VI (Western Visayas)",San Jose,Antique - Region VI (Western Visayas),PH,Asia/Manila,,,,,0916 180 0517,,Email: sportshub123@gmail.com,,pickleball|,
MIDRIFF PICKLEBALL COURT & CAFE,Balagtas-Pandi Road Santol Balagtas Bulacan,Balagtas-Pandi Road Santol Balagtas Bulacan,Balagtas-Pandi Road Santol Balagtas Bulacan,PH,Asia/Manila,,,,,09178060223,,Email: midriffpgc@gmail.com,,pickleball|,
HQ PICKLEBALL CEBU,"Arch. Reyes Avenue, Cebu City",Arch. Reyes Avenue,Cebu City,PH,Asia/Manila,,,,,09989627208,,Email: hqpickleballcebu@gmail.com,,pickleball|,
Pickle Camp,"8 Patiis Malanday San Mateo, Rizal",8 Patiis Malanday San Mateo,Rizal,PH,Asia/Manila,,,,,,,Email: picklecamp.ph@gmail.com,,pickleball|,
Solaris Pickle Hub,"Pulong Songco Solib, Floridablanca, Central Luzon, Philippines, Floridablanca, Philippines, 2006",Philippines,2006,PH,Asia/Manila,,,,,0970 939 4761,,Email: solarispicklehub@gmail.com,,pickleball|,
Pickleball Paradise (Batis Aramin Resort and Hotel),"Brgy. Malupak Lucban, Quezon 4328",Brgy. Malupak Lucban,Quezon 4328,PH,Asia/Manila,,,,,(0917) 595 4145,,Email: visitus@batisaramin.ph,,pickleball|,
Reborn Smash,"L1 A2 Molino Paliparan Road, Molino 4 Bacoor City, Cavite",Molino 4 Bacoor City,Cavite,PH,Asia/Manila,,,,,0952-455-0572,,Email: a@a.com,,pickleball|,
THE PICKLEMIND COURT,"Warehouse 08, Willim Industrial Park, Panghulo Rd, Malabon City",Panghulo Rd,Malabon City,PH,Asia/Manila,,,,,09605576778,,Email: thepicklemindcourt@gmail.com,,pickleball|,
The PickleGround,"CVHQ+V29, EPZA Diversion Rd, Noveleta, 4104 Cavite",Noveleta,4104 Cavite,PH,Asia/Manila,,,,,09324767655,,Email: aaronsantos.ets2018@gmail.com,,pickleball|,
